seed,feature_group,delta_cumulative_return,delta_sharpe,drawdown_improvement,delta_turnover
42,F2_returns_volume,-1.0264927277951628,0.18239711334695174,4.743375848703657e-05,-0.35040650406504065
42,F3_momentum,-1.026493035867238,0.2742558557856152,4.7433758493586886e-05,-0.45772357723577234
42,F4_trend,73.59075825897185,0.04951743587544055,4.6827403513138854e-05,-0.08943089430894308
42,F5_volatility,-1.0264929666556153,0.2206996834228636,4.743375533866612e-05,-0.4219512195121951
42,F6_all_indicators,-1.0256811084815962,0.09734288611805131,4.7432911968514624e-05,-0.2821138211382114
123,F2_returns_volume,-235.5759739820544,-0.11581016455455995,-1.896429815295697e-06,-0.01788617886178867
123,F3_momentum,-342.3064043439265,1.275147120847636,-1.0280226852454888e-05,-0.08943089430894313
123,F4_trend,552543.011228032,-0.05263151323795867,1.7025477916376985e-07,-0.022764227642276424
123,F5_volatility,-342.81516366709263,-0.032801840999719944,2.009692751103742e-07,-0.24308943089430898
123,F6_all_indicators,-342.7716863157644,0.8999017258239058,-0.00018979642678773612,-0.24796747967479676
2024,F2_returns_volume,-0.7455068951453722,0.15292956317393125,1.2424789919140977e-07,-0.25853658536585367
2024,F3_momentum,-0.7455068972418464,0.15609215781966557,1.2424791706600047e-07,-0.2975609756097561
2024,F4_trend,-0.7453576279584129,-0.04959482456812392,1.241861429246427e-07,-0.001626016260162566
2024,F5_volatility,-0.7072418605862368,1.2188645172069252,-9.415869497431117e-07,0.05691056910569109
2024,F6_all_indicators,36.08616807489559,1.285778561794329,-5.530697771094495e-06,-0.1121951219512195
