agent,feature_group,seed,episode,episode_reward,epsilon,loss,final_portfolio_value,num_trades,val_sharpe,val_cumulative_return
Q-Learning,Q_F1_returns_only,42,0,20.735661385528694,0.995,,,,,
Q-Learning,Q_F1_returns_only,42,1,2.190642602965224,0.990025,,,,,
Q-Learning,Q_F1_returns_only,42,2,14.562689385868612,0.985074875,,,,,
Q-Learning,Q_F3_momentum,42,0,20.735661385528694,0.995,,,,,
Q-Learning,Q_F3_momentum,42,1,2.190642602965224,0.990025,,,,,
Q-Learning,Q_F3_momentum,42,2,13.965634725548332,0.985074875,,,,,
Q-Learning,Q_F5_volatility,42,0,20.735661385528694,0.995,,,,,
Q-Learning,Q_F5_volatility,42,1,2.190642602965224,0.990025,,,,,
Q-Learning,Q_F5_volatility,42,2,13.39257752511651,0.985074875,,,,,
DQN,F1_returns_only,42,0,20.735661385528694,0.9920833333333333,0.07308425754557717,10124726918093.48,119.0,2.2500127739613616,117951571.53077361
DQN,F1_returns_only,42,1,6.55532886121422,0.9841666666666666,0.022698221065104007,7029802.947668787,110.0,1.883469703172734,47.57621205567019
DQN,F2_returns_volume,42,0,20.735661385528694,0.9920833333333333,0.06345791930960303,10124726918093.48,119.0,2.412066217307639,620176268983.2699
DQN,F2_returns_volume,42,1,5.338925257660448,0.9841666666666666,0.016174721071962266,2082887.332313874,110.0,2.1425994478562256,4502.120920161679
DQN,F3_momentum,42,0,20.735661385528694,0.9920833333333333,0.05739320808757634,10124726918093.48,119.0,2.2648891503323485,2966062.2379870764
DQN,F3_momentum,42,1,4.75365330312401,0.9841666666666666,0.024388388274237515,1160073.2122507365,110.0,1.8211002113205064,33003.71817812264
DQN,F4_trend,42,0,20.735661385528694,0.9920833333333333,0.056729076824893046,10124726918093.48,119.0,1.9281887912893823,5334165718.688345
DQN,F4_trend,42,1,4.75365330312401,0.9841666666666666,0.023568939606659116,1160073.2122507365,110.0,1.8150103668025486,3408019742.8278666
DQN,F5_volatility,42,0,20.735661385528694,0.9920833333333333,0.061139278270722554,10124726918093.48,119.0,2.4483559693221912,413670.162357251
DQN,F5_volatility,42,1,5.338925257660448,0.9841666666666666,0.021359313814900815,2082887.332313874,110.0,2.049384246307623,698.8491805521415
DQN,F6_all_indicators,42,0,20.735661385528694,0.9920833333333333,0.05738727759101732,10124726918093.48,119.0,1.781558774286981,7326.782131238891
DQN,F6_all_indicators,42,1,4.75365330312401,0.9841666666666666,0.0302696675285697,1160073.2122507365,110.0,1.7962733609631296,136.65318618620745
